menu,type,ingredient,recipe
ピーマン肉詰め,main,ピーマン,
ロールキャベツ,main,キャベツ,
ひじき入り肉じゃが,main,,
ハンバーグ,main,,
麻婆茄子,main,,
豚キムチ炒飯,main,,
親子丼,main,玉ねぎ,
生姜焼き,main,玉ねぎ,
ハヤシライス,main,玉ねぎ,
カレーライス,main,"人参,玉ねぎ",
キーマカレー,main,,
ビーフシチュー,main,,
タコス,main,レタス,
ファヒータ,main,ピーマン,
ガパオライス,main,ピーマン,
カオマンガイ,main,,
フェジョアーダ,main,セロリ,
春巻き,main,,
唐揚げ,main,,
焼うどん,main,"キャベツ,人参",
焼きそば,main,"キャベツ,人参",
プルコギ,main,"ピーマン,玉ねぎ",
きんぴらごぼう,side,人参,
たたききゅうり,side,,
レタスと韓国のりのサラダ,side,レタス,
かぼちゃの煮物,side,,
ガーリックシュリンプ,side,,
アスパラの豚バラ巻きんこ,side,,
ラタトゥイユ,side,,
玉ねぎ焼き,side,玉ねぎ,
牛皿,side,玉ねぎ,
茄子のお浸し,side,,
肉豆腐,side,玉ねぎ,
味噌汁,soup,,
ミネストローネ,soup,セロリ,
豚汁,soup,,
ほうれん草たっぷり豆乳スープ,soup,,
ポトフ,soup,,
